pick_no,round,slot,team_strategy,player_name,position,nfl_team,adp,vorp,strategy_weight,final_score
43,4,6,bpa,Cam Skattebo,RB,NYG,49.12,102.0,1.00,130.7
44,4,5,bpa,Bucky Irving,RB,TB,50.10,108.0,1.00,106.4
45,4,4,bpa,Travis Etienne,RB,NO,45.71,96.0,1.00,94.6
46,4,3,hero_rb,Terry McLaurin,WR,WAS,51.86,108.0,1.50,131.2
47,4,2,bpa,Quinshon Judkins,RB,CLE,55.47,90.0,1.00,88.7
48,4,1,bpa,DJ Moore,WR,BUF,54.37,103.5,1.00,98.8
49,5,1,bpa,Jameson Williams,WR,DET,58.18,99.0,1.00,80.2
50,5,2,bpa,Mike Evans,WR,SF,59.30,94.5,1.00,84.2
51,5,3,hero_rb,Rome Odunze,WR,CHI,61.02,90.0,1.20,79.0
52,5,4,bpa,Carnell Tate,WR,TEN,65.60,85.5,1.00,76.2
53,5,5,bpa,Colston Loveland,TE,CHI,38.20,67.5,1.00,74.3
54,5,6,bpa,Christian Watson,WR,GB,64.08,81.0,1.00,72.2
55,5,7,zero_rb,Josh Allen,QB,BUF,23.69,84.5,1.20,145.0
56,5,8,bpa,David Montgomery,RB,HOU,55.12,84.0,1.00,75.3
57,5,9,bpa,Tyler Warren,TE,IND,49.62,60.0,1.00,66.0
58,5,10,bpa,Parker Washington,WR,JAX,68.88,76.5,1.00,62.0
59,5,11,robust_rb,Brian Thomas,WR,JAX,75.04,72.0,1.40,96.3
60,5,12,bpa,TreVeyon Henderson,RB,NE,60.73,78.0,1.00,69.9
61,6,12,bpa,D'Andre Swift,RB,CHI,54.48,72.0,1.00,64.8
62,6,11,robust_rb,Lamar Jackson,QB,BAL,34.66,78.0,1.00,85.8
63,6,10,bpa,Bhayshul Tuten,RB,JAX,62.71,66.0,1.00,59.4
64,6,9,bpa,Marvin Harrison,WR,ARI,72.09,67.5,1.00,54.7
65,6,8,bpa,DK Metcalf,WR,PIT,79.61,63.0,1.00,51.0
66,6,7,zero_rb,Jadarian Price,RB,SEA,68.03,60.0,1.70,91.4
67,6,6,bpa,Sam LaPorta,TE,DET,72.66,52.5,1.00,57.8
68,6,5,bpa,Jordyn Tyson,WR,NO,105.85,58.5,1.00,47.4
69,6,4,bpa,Tucker Kraft,TE,GB,71.15,45.0,1.00,49.5
70,6,3,hero_rb,Jaylen Warren,RB,PIT,74.25,54.0,1.35,65.3
71,6,2,bpa,Harold Fannin,TE,CLE,72.83,37.5,1.00,41.3
72,6,1,bpa,Courtland Sutton,WR,DEN,84.52,49.5,1.00,37.9
73,7,1,bpa,Drake Maye,QB,NE,44.72,71.5,0.45,35.4
74,7,2,bpa,Michael Wilson,WR,ARI,85.97,54.0,1.00,35.9
75,7,3,hero_rb,Kyle Pitts,TE,ATL,76.37,30.0,1.00,33.0
76,7,4,bpa,RJ Harvey,RB,DEN,88.14,48.0,1.00,33.2
77,7,5,bpa,Joe Burrow,QB,CIN,51.85,65.0,0.45,32.2
78,7,6,bpa,Makai Lemon,WR,PHI,98.77,45.0,1.00,29.9
79,7,7,zero_rb,Jayden Daniels,QB,WAS,59.79,58.5,1.00,35.1
80,7,8,bpa,Chuba Hubbard,RB,CAR,89.65,42.0,1.00,29.1
81,7,9,bpa,Chris Godwin,WR,TB,86.30,40.5,1.00,26.9
82,7,10,bpa,Tyler Higbee,TE,LAR,323.85,24.0,1.00,26.4
83,7,11,robust_rb,George Kittle,TE,SF,96.40,22.5,1.30,32.2
84,7,12,bpa,Josh Downs,WR,IND,94.92,36.0,1.00,29.2
85,8,12,bpa,Jalen Hurts,QB,PHI,62.66,52.0,0.45,25.7
86,8,11,robust_rb,Rhamondre Stevenson,RB,NE,80.58,36.0,1.20,29.8
87,8,10,bpa,Caleb Williams,QB,CHI,70.93,45.5,0.45,22.5
88,8,9,bpa,Rico Dowdle,RB,PIT,87.35,30.0,1.00,20.8
89,8,8,bpa,Jordan Addison,WR,MIN,103.99,31.5,1.00,21.0
90,8,7,zero_rb,Alec Pierce,WR,IND,101.92,22.5,1.00,19.5
91,8,6,bpa,Dak Prescott,QB,DAL,81.43,39.0,0.45,19.3
92,8,5,bpa,Michael Pittman,WR,PIT,93.30,27.0,1.00,18.0
93,8,4,bpa,Justin Herbert,QB,LAC,80.04,32.5,0.45,16.1
94,8,3,hero_rb,Jaxson Dart,QB,NYG,94.49,26.0,0.70,20.0
95,8,2,bpa,Tony Pollard,RB,TEN,85.69,24.0,1.00,16.6
96,8,1,bpa,Dalton Kincaid,TE,BUF,103.60,15.0,1.00,16.5
97,9,1,bpa,J.K. Dobbins,RB,DEN,95.49,18.0,1.00,16.2
98,9,2,bpa,Quentin Johnston,WR,LAC,101.62,18.0,1.00,10.8
99,9,3,hero_rb,Wan'Dale Robinson,WR,TEN,98.75,13.5,1.20,9.7
100,9,4,bpa,Kyle Monangai,RB,CHI,104.71,12.0,1.00,9.4
101,9,5,bpa,Jayden Reed,WR,GB,106.14,9.0,1.00,5.4
102,9,6,bpa,Jonathon Brooks,RB,CAR,94.71,6.0,1.00,5.4
103,9,7,zero_rb,Travis Kelce,TE,KC,97.74,7.5,1.00,8.3
104,9,8,bpa,Trevor Lawrence,QB,JAX,89.82,19.5,0.45,9.7
105,9,9,bpa,Matthew Stafford,QB,LAR,107.28,13.0,0.45,6.4
106,9,10,bpa,Stefon Diggs,WR,WAS,104.38,4.5,1.00,3.0
107,9,11,robust_rb,Patrick Mahomes,QB,KC,106.65,6.5,1.00,3.9
108,9,12,bpa,Blake Corum,RB,LAR,104.93,0.0,1.00,0.0
109,10,12,bpa,Brock Purdy,QB,SF,107.89,0.0,0.30,0.0
110,10,11,robust_rb,Jakobi Meyers,WR,JAX,107.90,0.0,1.00,0.0
111,10,10,bpa,Jake Ferguson,TE,DAL,110.35,0.0,0.25,0.0
112,10,9,bpa,Los Angeles Rams,DEF,LAR,129.94,0.0,1.00,0.0
113,10,8,bpa,Houston Texans,DEF,HOU,131.34,0.0,1.00,0.0
114,10,7,zero_rb,Seattle Seahawks,DEF,SEA,141.29,0.0,1.00,0.0
115,10,6,bpa,Brandon Aubrey,K,DAL,142.24,0.0,0.05,0.0
116,10,5,bpa,Denver Broncos,DEF,DEN,145.45,0.0,1.00,0.0
117,10,4,bpa,Philadelphia Eagles,DEF,PHI,154.61,0.0,1.00,0.0
118,10,3,hero_rb,Cameron Dicker,K,LAC,158.71,0.0,0.05,0.0
119,10,2,bpa,Ka'imi Fairbairn,K,HOU,162.63,0.0,0.05,0.0
120,10,1,bpa,Jason Myers,K,SEA,165.53,0.0,0.05,0.0
121,11,1,bpa,New England Patriots,DEF,NE,166.58,0.0,1.00,0.0
122,11,2,bpa,Cam Little,K,JAX,166.61,0.0,0.05,0.0
123,11,3,hero_rb,Baltimore Ravens,DEF,BAL,168.34,0.0,1.00,0.0
124,11,4,bpa,Minnesota Vikings,DEF,MIN,170.87,0.0,1.00,0.0
125,11,5,bpa,Pittsburgh Steelers,DEF,PIT,174.88,0.0,1.00,0.0
126,11,6,bpa,Jacksonville Jaguars,DEF,JAX,175.68,0.0,1.00,0.0
127,11,7,zero_rb,Los Angeles Chargers,DEF,LAC,178.49,0.0,1.00,0.0
128,11,8,bpa,Harrison Mevis,K,LAR,184.56,0.0,0.05,0.0
129,11,9,bpa,Eddy Pineiro,K,SF,184.88,0.0,0.05,0.0
130,11,10,bpa,Detroit Lions,DEF,DET,185.52,0.0,1.00,0.0
131,11,11,robust_rb,Andy Borregales,K,NE,186.88,0.0,0.05,0.0
132,11,12,bpa,Cairo Santos,K,CHI,186.99,0.0,0.05,0.0
133,12,12,bpa,Tennessee Titans,DEF,TEN,188.01,0.0,1.00,0.0
134,12,11,robust_rb,Tyler Loop,K,BAL,188.01,0.0,0.05,0.0
135,12,10,bpa,Evan McPherson,K,CIN,188.33,0.0,0.05,0.0
136,12,9,bpa,Jake Bates,K,DET,189.79,0.0,0.05,0.0
137,12,8,bpa,Chase McLaughlin,K,TB,190.99,0.0,0.05,0.0
138,12,7,zero_rb,Kansas City Chiefs,DEF,KC,193.50,0.0,1.00,0.0
139,12,6,bpa,Green Bay Packers,DEF,GB,193.70,0.0,1.00,0.0
140,12,5,bpa,Chris Boswell,K,PIT,197.91,0.0,0.05,0.0
141,12,4,bpa,Will Reichard,K,MIN,200.89,0.0,0.05,0.0
142,12,3,hero_rb,Harrison Butker,K,KC,201.89,0.0,0.05,0.0
143,12,2,bpa,Dallas Cowboys,DEF,DAL,204.68,0.0,1.00,0.0
144,12,1,bpa,San Francisco 49ers,DEF,SF,206.59,0.0,1.00,0.0
145,13,1,bpa,Chicago Bears,DEF,CHI,211.47,0.0,1.00,0.0
146,13,2,bpa,Buffalo Bills,DEF,BUF,214.31,0.0,1.00,0.0
147,13,3,hero_rb,Jake Elliott,K,PHI,220.91,0.0,0.05,0.0
148,13,4,bpa,Cleveland Browns,DST,CLE,221.97,0.0,1.00,0.0
149,13,5,bpa,Charlie Smyth,K,NO,225.58,0.0,0.05,0.0
150,13,6,bpa,New York Giants,DEF,NYG,226.25,0.0,1.00,0.0
151,13,7,zero_rb,Trey Smack,K,GB,228.05,0.0,1.00,0.0
152,13,8,bpa,Spencer Shrader,K,IND,240.67,0.0,0.05,0.0
153,13,9,bpa,Washington Commanders,DST,WAS,247.14,0.0,1.00,0.0
154,13,10,bpa,Blake Grupe,K,IND,248.89,0.0,0.05,0.0
155,13,11,robust_rb,Jake Moody,K,FA,249.33,0.0,0.05,0.0
156,13,12,bpa,Tampa Bay Buccaneers,DEF,TB,253.50,0.0,1.00,0.0
157,14,12,bpa,Nick Folk,K,ATL,254.15,0.0,0.05,0.0
158,14,11,robust_rb,Las Vegas Raiders,DST,LV,255.40,0.0,1.00,0.0
159,14,10,bpa,Indianapolis Colts,DEF,IND,255.53,0.0,1.00,0.0
160,14,9,bpa,Daniel Carlson,K,NO,257.57,0.0,0.05,0.0
161,14,8,bpa,Brandon McManus,K,FA,257.83,0.0,0.05,0.0
162,14,7,zero_rb,Ty Johnson,RB,BUF,259.14,0.0,1.00,0.0
163,14,6,bpa,New Orleans Saints,DST,NO,259.53,0.0,1.00,0.0
164,14,5,bpa,Joey Slye,K,TEN,261.00,0.0,0.05,0.0
165,14,4,bpa,Cincinnati Bengals,DST,CIN,261.36,0.0,0.05,0.0
166,14,3,hero_rb,Christian Kirk,WR,SF,262.56,0.0,1.20,0.0
167,14,2,bpa,Ryan Fitzgerald,K,CAR,263.50,0.0,0.05,0.0
168,14,1,bpa,Wil Lutz,K,DEN,263.57,0.0,0.05,0.0
169,15,1,bpa,Tyquan Thornton,WR,KC,264.24,0.0,1.00,0.0
170,15,2,bpa,Xavier Legette,WR,CAR,264.50,0.0,1.00,0.0
171,15,3,hero_rb,Darius Slayton,WR,NYG,267.22,0.0,1.20,0.0
172,15,4,bpa,Roman Hemby,RB,LV,268.00,0.0,1.00,0.0
173,15,5,bpa,Atlanta Falcons,DST,ATL,269.15,0.0,1.00,0.0
174,15,6,bpa,Carolina Panthers,DST,CAR,269.75,0.0,0.05,0.0
175,15,7,zero_rb,Tyler Bass,K,BUF,270.02,0.0,0.05,0.0
176,15,8,bpa,Chad Ryland,K,ARI,278.67,0.0,0.05,0.0
177,15,9,bpa,Xavier Hutchinson,WR,HOU,279.79,0.0,1.00,0.0
178,15,10,bpa,Alec Ingold,RB,LAC,280.50,0.0,1.00,0.0
179,15,11,robust_rb,Mack Hollins,WR,NE,281.82,0.0,1.00,0.0
180,15,12,bpa,Ben Sauls,K,NYG,281.83,0.0,0.05,0.0
