pick_no,round,slot,team_strategy,player_name,position,nfl_team,adp,vorp,strategy_weight,final_score
28,3,4,bpa,Saquon Barkley,RB,PHI,18.79,168.0,1.30,264.3
29,3,5,bpa,Chase Brown,RB,CIN,17.00,156.0,1.30,319.0
30,3,6,bpa,Derrick Henry,RB,BAL,27.63,144.0,1.30,294.5
31,3,7,superflex_punt,Omarion Hampton,RB,LAC,20.28,162.0,1.35,216.5
32,3,8,bpa,Kenneth Walker,RB,KC,21.95,150.0,1.30,236.0
33,3,9,bpa,Jeremiyah Love,RB,ARI,32.68,138.0,1.30,217.1
34,3,10,bpa,Nico Collins,WR,HOU,21.56,171.0,1.20,225.7
35,3,11,bpa,Jaxson Dart,QB,NYG,94.49,91.0,2.60,260.3
36,3,12,bpa,Trevor Lawrence,QB,JAX,89.82,84.5,2.60,241.7
37,4,12,bpa,Malik Nabers,WR,NYG,26.76,166.5,1.20,191.2
38,4,11,bpa,DeVonta Smith,WR,PHI,31.44,153.0,1.20,175.7
39,4,10,bpa,Garrett Wilson,WR,NYJ,38.42,126.0,1.20,206.9
40,4,9,bpa,Zay Flowers,WR,BAL,36.85,130.5,1.20,214.3
41,4,8,bpa,Tetairoa McMillan,WR,CAR,36.77,148.5,1.20,187.6
42,4,7,superflex_punt,Ladd McConkey,WR,LAC,37.16,144.0,1.30,197.1
43,4,6,bpa,Tee Higgins,WR,CIN,37.83,139.5,1.20,176.2
44,4,5,bpa,Emeka Egbuka,WR,TB,39.98,135.0,1.20,170.6
45,4,4,bpa,Matthew Stafford,QB,LAR,107.28,78.0,2.40,155.3
46,4,3,superflex,Kyren Williams,RB,LAR,35.11,132.0,1.30,154.4
47,4,2,bpa,Jaylen Waddle,WR,DEN,42.76,121.5,1.20,153.5
48,4,1,bpa,Luther Burden,WR,CHI,50.39,117.0,1.20,147.8
49,5,1,bpa,Brock Bowers,TE,LV,18.90,82.5,1.30,153.4
50,5,2,bpa,Breece Hall,RB,NYJ,36.93,126.0,1.30,147.4
51,5,3,superflex,Patrick Mahomes,QB,KC,106.65,71.5,2.40,142.4
52,5,4,bpa,Josh Jacobs,RB,GB,38.96,120.0,1.30,140.4
53,5,5,bpa,Brock Purdy,QB,SF,107.89,65.0,2.40,168.3
54,5,6,bpa,Trey McBride,TE,ARI,21.97,75.0,1.30,139.4
55,5,7,superflex_punt,Davante Adams,WR,LAR,52.48,112.5,1.30,119.1
56,5,8,bpa,Javonte Williams,RB,DAL,38.96,114.0,1.30,133.4
57,5,9,bpa,Cam Skattebo,RB,NYG,49.12,102.0,1.30,155.1
58,5,10,bpa,Bucky Irving,RB,TB,50.10,108.0,1.30,126.4
59,5,11,bpa,Travis Etienne,RB,NO,45.71,96.0,1.30,123.6
60,5,12,bpa,Bo Nix,QB,DEN,110.40,58.5,2.40,116.5
61,6,12,bpa,Quinshon Judkins,RB,CLE,55.47,90.0,1.30,115.8
62,6,11,bpa,Terry McLaurin,WR,WAS,51.86,108.0,1.20,105.5
63,6,10,bpa,Jared Goff,QB,DET,118.52,52.0,2.40,103.6
64,6,9,bpa,Jordan Love,QB,GB,129.86,45.5,2.40,104.2
65,6,8,bpa,DJ Moore,WR,BUF,54.37,103.5,1.20,101.1
66,6,7,superflex_punt,Colston Loveland,TE,CHI,38.20,67.5,1.30,96.5
67,6,6,bpa,David Montgomery,RB,HOU,55.12,84.0,1.30,98.3
68,6,5,bpa,Jameson Williams,WR,DET,58.18,99.0,1.20,96.7
69,6,4,bpa,Mike Evans,WR,SF,59.30,94.5,1.20,108.5
70,6,3,superflex,Rome Odunze,WR,CHI,61.02,90.0,1.20,113.7
71,6,2,bpa,Carnell Tate,WR,TEN,65.60,85.5,1.20,91.9
72,6,1,bpa,TreVeyon Henderson,RB,NE,60.73,78.0,1.30,91.3
73,7,1,bpa,Christian Watson,WR,GB,64.08,81.0,1.20,87.1
74,7,2,bpa,Tyler Warren,TE,IND,49.62,60.0,1.30,85.8
75,7,3,superflex,D'Andre Swift,RB,CHI,54.48,72.0,1.30,85.2
76,7,4,bpa,Bhayshul Tuten,RB,JAX,62.71,66.0,1.30,78.1
77,7,5,bpa,Jadarian Price,RB,SEA,68.03,60.0,1.30,77.2
78,7,6,bpa,Baker Mayfield,QB,TB,129.51,39.0,2.40,77.7
79,7,7,superflex_punt,Kyler Murray,QB,MIN,129.40,32.5,2.00,82.2
80,7,8,bpa,Sam LaPorta,TE,DET,72.66,52.5,1.30,75.1
81,7,9,bpa,Parker Washington,WR,JAX,68.88,76.5,1.20,74.8
82,7,10,bpa,Brian Thomas,WR,JAX,75.04,72.0,1.20,70.4
83,7,11,bpa,Tucker Kraft,TE,GB,71.15,45.0,1.30,64.4
84,7,12,bpa,Marvin Harrison,WR,ARI,72.09,67.5,1.20,66.0
85,8,12,bpa,DK Metcalf,WR,PIT,79.61,63.0,1.20,64.2
86,8,11,bpa,Jordyn Tyson,WR,NO,105.85,58.5,1.20,51.8
87,8,10,bpa,Harold Fannin,TE,CLE,72.83,37.5,1.30,53.6
88,8,9,bpa,Courtland Sutton,WR,DEN,84.52,49.5,1.20,50.5
89,8,8,bpa,Tyler Shough,QB,NO,138.79,26.0,2.40,51.8
90,8,7,superflex_punt,Michael Wilson,WR,ARI,85.97,54.0,1.00,39.9
91,8,6,bpa,Jaylen Warren,RB,PIT,74.25,54.0,1.30,49.1
92,8,5,bpa,RJ Harvey,RB,DEN,88.14,48.0,1.30,43.7
93,8,4,bpa,Makai Lemon,WR,PHI,98.77,45.0,1.20,44.0
94,8,3,superflex,Kyle Pitts,TE,ATL,76.37,30.0,1.30,42.9
95,8,2,bpa,Cam Ward,QB,TEN,155.98,19.5,2.40,38.8
96,8,1,bpa,Chuba Hubbard,RB,CAR,89.65,42.0,1.30,38.2
97,9,1,bpa,Chris Godwin,WR,TB,86.30,40.5,1.20,32.6
98,9,2,bpa,Rhamondre Stevenson,RB,NE,80.58,36.0,1.30,32.8
99,9,3,superflex,Josh Downs,WR,IND,94.92,36.0,1.20,35.2
100,9,4,bpa,Tyler Higbee,TE,LAR,323.85,24.0,1.30,34.3
101,9,5,bpa,George Kittle,TE,SF,96.40,22.5,1.30,32.2
102,9,6,bpa,Jordan Addison,WR,MIN,103.99,31.5,1.20,30.8
103,9,7,superflex_punt,Rico Dowdle,RB,PIT,87.35,30.0,1.00,21.0
104,9,8,bpa,Alec Pierce,WR,IND,101.92,22.5,1.20,23.6
105,9,9,bpa,Tony Pollard,RB,TEN,85.69,24.0,1.30,21.8
106,9,10,bpa,Michael Pittman,WR,PIT,93.30,27.0,1.20,21.8
107,9,11,bpa,J.K. Dobbins,RB,DEN,95.49,18.0,1.30,16.4
108,9,12,bpa,Dalton Kincaid,TE,BUF,103.60,15.0,1.30,21.5
109,10,12,bpa,Quentin Johnston,WR,LAC,101.62,18.0,1.20,13.0
110,10,11,bpa,Sam Darnold,QB,SEA,148.74,13.0,1.20,12.9
111,10,10,bpa,Kyle Monangai,RB,CHI,104.71,12.0,1.30,12.6
112,10,9,bpa,Travis Kelce,TE,KC,97.74,7.5,1.30,10.7
113,10,8,bpa,Wan'Dale Robinson,WR,TEN,98.75,13.5,1.20,9.7
114,10,7,superflex_punt,Malik Willis,QB,MIA,144.98,6.5,1.60,8.6
115,10,6,bpa,Jayden Reed,WR,GB,106.14,9.0,1.20,7.3
116,10,5,bpa,Jonathon Brooks,RB,CAR,94.71,6.0,1.30,6.1
117,10,4,bpa,Stefon Diggs,WR,WAS,104.38,4.5,1.20,3.6
118,10,3,superflex,Blake Corum,RB,LAR,104.93,0.0,1.30,0.0
119,10,2,bpa,Jakobi Meyers,WR,JAX,107.90,0.0,1.20,0.0
120,10,1,bpa,Jake Ferguson,TE,DAL,110.35,0.0,1.00,0.0
121,11,1,bpa,Los Angeles Rams,DEF,LAR,129.94,0.0,1.00,0.0
122,11,2,bpa,Brandon Aubrey,K,DAL,142.24,0.0,0.05,0.0
123,11,3,superflex,Seattle Seahawks,DEF,SEA,141.29,0.0,1.00,0.0
124,11,4,bpa,Houston Texans,DEF,HOU,131.34,0.0,1.00,0.0
125,11,5,bpa,Denver Broncos,DEF,DEN,145.45,0.0,1.00,0.0
126,11,6,bpa,Tom Brady,QB,,157.12,0.0,0.20,0.0
127,11,7,superflex_punt,Cameron Dicker,K,LAC,158.71,0.0,0.05,0.0
128,11,8,bpa,Ka'imi Fairbairn,K,HOU,162.63,0.0,0.05,0.0
129,11,9,bpa,Jason Myers,K,SEA,165.53,0.0,0.05,0.0
130,11,10,bpa,Cam Little,K,JAX,166.61,0.0,0.05,0.0
131,11,11,bpa,Baltimore Ravens,DEF,BAL,168.34,0.0,1.00,0.0
132,11,12,bpa,Minnesota Vikings,DEF,MIN,170.87,0.0,1.00,0.0
133,12,12,bpa,Jacksonville Jaguars,DEF,JAX,175.68,0.0,1.00,0.0
134,12,11,bpa,Philadelphia Eagles,DEF,PHI,154.61,0.0,1.00,0.0
135,12,10,bpa,Pittsburgh Steelers,DEF,PIT,174.88,0.0,1.00,0.0
136,12,9,bpa,Jake Browning,QB,TB,343.00,0.0,0.20,0.0
137,12,8,bpa,Los Angeles Chargers,DEF,LAC,178.49,0.0,1.00,0.0
138,12,7,superflex_punt,New England Patriots,DEF,NE,166.58,0.0,1.00,0.0
139,12,6,bpa,Harrison Mevis,K,LAR,184.56,0.0,0.05,0.0
140,12,5,bpa,Eddy Pineiro,K,SF,184.88,0.0,0.05,0.0
141,12,4,bpa,Detroit Lions,DEF,DET,185.52,0.0,1.00,0.0
142,12,3,superflex,Andy Borregales,K,NE,186.88,0.0,0.05,0.0
143,12,2,bpa,Cairo Santos,K,CHI,186.99,0.0,0.05,0.0
144,12,1,bpa,Tennessee Titans,DEF,TEN,188.01,0.0,1.00,0.0
145,13,1,bpa,Tyler Loop,K,BAL,188.01,0.0,1.00,0.0
146,13,2,bpa,Evan McPherson,K,CIN,188.33,0.0,0.05,0.0
147,13,3,superflex,Jake Bates,K,DET,189.79,0.0,0.05,0.0
148,13,4,bpa,Chase McLaughlin,K,TB,190.99,0.0,1.00,0.0
149,13,5,bpa,Kansas City Chiefs,DEF,KC,193.50,0.0,1.00,0.0
150,13,6,bpa,Green Bay Packers,DEF,GB,193.70,0.0,1.00,0.0
151,13,7,superflex_punt,Mac Jones,QB,SF,334.28,0.0,0.10,0.0
152,13,8,bpa,Anthony Richardson Sr.,QB,IND,347.80,0.0,0.20,0.0
153,13,9,bpa,Chris Boswell,K,PIT,197.91,0.0,0.05,0.0
154,13,10,bpa,Will Reichard,K,MIN,200.89,0.0,0.05,0.0
155,13,11,bpa,Harrison Butker,K,KC,201.89,0.0,1.00,0.0
156,13,12,bpa,Dallas Cowboys,DEF,DAL,204.68,0.0,1.00,0.0
157,14,12,bpa,San Francisco 49ers,DEF,SF,206.59,0.0,1.00,0.0
158,14,11,bpa,Chicago Bears,DEF,CHI,211.47,0.0,1.00,0.0
159,14,10,bpa,Barion Brown,WR,NO,303.29,0.0,1.20,0.0
160,14,9,bpa,Buffalo Bills,DEF,BUF,214.31,0.0,1.00,0.0
161,14,8,bpa,Joe Milton III,QB,DAL,352.67,0.0,0.05,0.0
162,14,7,superflex_punt,Jake Elliott,K,PHI,220.91,0.0,0.05,0.0
163,14,6,bpa,Cleveland Browns,DST,CLE,221.97,0.0,1.00,0.0
164,14,5,bpa,Charlie Smyth,K,NO,225.58,0.0,0.05,0.0
165,14,4,bpa,New York Giants,DEF,NYG,226.25,0.0,1.00,0.0
166,14,3,superflex,Trey Smack,K,GB,228.05,0.0,0.05,0.0
167,14,2,bpa,Malik Davis,RB,DAL,282.03,0.0,1.30,0.0
168,14,1,bpa,Tyquan Thornton,WR,KC,264.24,0.0,1.20,0.0
169,15,1,bpa,Marcus Mariota,QB,WAS,349.67,0.0,1.20,0.0
170,15,2,bpa,Joe Flacco,QB,CIN,344.61,0.0,0.20,0.0
171,15,3,superflex,Riley Leonard,QB,IND,361.29,0.0,0.20,0.0
172,15,4,bpa,Jameis Winston,QB,NYG,348.44,0.0,0.20,0.0
173,15,5,bpa,Ty Johnson,RB,BUF,259.14,0.0,1.30,0.0
174,15,6,bpa,Spencer Shrader,K,IND,240.67,0.0,0.05,0.0
175,15,7,superflex_punt,Christian Kirk,WR,SF,262.56,0.0,1.00,0.0
176,15,8,bpa,Darius Slayton,WR,NYG,267.22,0.0,1.20,0.0
177,15,9,bpa,Washington Commanders,DST,WAS,247.14,0.0,1.00,0.0
178,15,10,bpa,Justin Fields,QB,KC,346.54,0.0,0.20,0.0
179,15,11,bpa,Blake Grupe,K,IND,248.89,0.0,0.05,0.0
180,15,12,bpa,Jake Moody,K,FA,249.33,0.0,1.00,0.0
